	fqid	enum	room	obj_type	notification	observation	speakers	text	count_boxes	num_sentences	count_bang	count_qmark	num_speakers	num_words	num_syllable_estimate	words_per_sentence	est_syllable_per_word	flesch_kinkaid
0	tunic.drycleaner.frontdesk.logbook	139	frontdesk	objects	True	False	['Jolie']	Gotta find the entry for this slip.	1	1	0	0	1	7	9	7.0	1.2857142857142858	2.3114285714285714
1	tunic.drycleaner.frontdesk.logbook.page.bingo	22	frontdesk	objects	True	False	['Jolie']	Theodora Youmans must be the owner!	1	1	1	0	1	6	10	6.0	1.6666666666666667	6.416666666666668
2	tunic.drycleaner.frontdesk.worker.takealook	141	frontdesk	persons	False	False	['worker', 'Jolie']	Take a look!	1	1	1	0	2	3	3	3.0	1.0	-2.619999999999999
3	tunic.drycleaner.frontdesk.worker.hub	21	frontdesk	persons	False	False	['worker', 'Jolie']	Hi! *cough* Can you help- *cough cough* Can you help me- *COUGH COUGH COUGH* Um, are you okay? Oh, I'm fine! Just a little hoarse. Ha! What do you call a pony with a sore throat? Huh? A little horse! Ha! You're funny. I got that one from my Gramps! Can you help me? I need to find the owner of this slip. Well, I can't show our log books to just anybody. Please? It's for Grampa Leo. He's a historian! Leo... you mean Leopold? Your gramps is awesome! Always full of stories. Yup, that's him! Guess it couldn't hurt to let you take a look. Here's the log book.	21	24	9	6	2	110	135	4.583333333333333	1.2272727272727273	0.6793181818181822
4	tunic.drycleaner.frontdesk.worker.done	23	frontdesk	persons	False	False	['worker', 'Jolie']	Do you know who Theodora Youmans is? Hmmm... not sure. Why don't you try the library? Unless you're too busy horsing around. Ha! Good one. Thanks for the help!	5	8	2	2	2	29	40	3.625	1.3793103448275863	2.09961206896552
5	tunic.drycleaner.frontdesk.worker.done2	140	frontdesk	persons	False	False	['worker', 'Jolie']	Nice seeing you, Jolie!	1	1	1	0	2	4	5	4.0	1.25	0.7199999999999989
6	tunic.drycleaner.frontdesk.block_0	137	frontdesk	observations	False	True	['Jolie']	I should find out if she can help me!	1	1	1	0	1	9	9	9.0	1.0	-0.27999999999999936
7	tunic.drycleaner.frontdesk.block_1	138	frontdesk	observations	False	True	['Jolie']	I should check that logbook to see who owned this slip...	1	1	0	0	1	11	13	11.0	1.1818181818181819	2.645454545454548
8	tunic.capitol_2.hall.chap4_finale_c	69	hall	cutscenes	False	False	['boss', 'Jolie']	Jolie! Where have you been? Wells got in trouble for littering at the Wildlife Center. PLEASE tell me you're doing better than he is. I'm doing great! I figured out the flag! Good. Let's hear it. I'm glad I put you on the case. Thanks! Looks like your work here is done. I'll see you tomorrow at the exhibit! Are you going home now? Tomorrow's the big day! Gramps and I are going to the park by my house. I want to run around and play! Isn't that Governor Nelson Park? Huh? You know, the guy who started Earth Day! He got a park named after him? Cool!	16	21	9	5	2	108	138	5.142857142857143	1.2777777777777777	1.493492063492063
9	tunic.capitol_2.hall.boss.chap4_finale_2_fail	180	hall	persons	False	False	['boss', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
10	tunic.capitol_2.hall.boss.chap4_finale_2	72	hall	persons	False	False	['boss', 'Jolie']	It's an ecology flag! Hmm. What does that symbol have to do with ecology?	2	3	1	1	2	14	21	4.666666666666667	1.5	3.9300000000000033
11	tunic.capitol_2.hall.boss.chap4_finale_3	73	hall	persons	False	False	['boss', 'Jolie']	"It's a theta symbol, which also looks like the letters \""e\"" and \""o\"" combined. The \""e\"" stands for \""ecology\"" and the \""o\"" stands for \""organism\""! Fascinating! Do you know how our flag was used?"	4	4	2	1	2	34	48	8.5	1.411764705882353	4.383823529411767
12	tunic.capitol_2.hall.boss.chap4_finale_4_fail	182	hall	persons	False	False	['boss', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
13	tunic.capitol_2.hall.boss.chap4_finale_4	74	hall	persons	False	False	['boss', 'Jolie']	Governor Nelson gave a speech in front of our flag on the very first Earth Day! How exciting! Governor Nelson helped launch a huge conservation movement! Did you find any photos for the exhibit?	4	4	3	1	2	34	53	8.5	1.5588235294117647	6.119117647058825
14	tunic.capitol_2.hall.boss.chap4_finale_3_fail	181	hall	persons	False	False	['boss', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
15	tunic.capitol_2.hall.boss.chap4_finale_5	75	hall	persons	False	False	['boss', 'Jolie']	Here are some photos of activists marching on the Capitol. They're carrying home-made ecology flags! Nice work, Jolie! Those are the real Wisconsin Wonders... Ordinary people standing up for what they believe in!	5	5	3	0	2	34	60	6.8	1.7647058823529411	7.885529411764708
16	tunic.capitol_2.hall.boss.haveyougotit	184	hall	persons	False	False	['boss', 'Jolie']	Jolie! I was hoping you'd stop by. Any news on the flag artifact? I haven't quite figured it out just yet... Well, get on it. I'm counting on you to figure this out!	3	6	2	1	2	33	45	5.5	1.3636363636363635	2.6459090909090897
17	tunic.capitol_2.hall.boss.chap4_finale_5_fail	183	hall	persons	False	False	['boss', 'Jolie']	I'm not sure that's relevant here...	1	1	0	0	2	6	9	6.0	1.5	4.450000000000003
18	tunic.capitol_2.hall.boss.chap4_finale_0_fail	178	hall	persons	False	False	['boss', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
19	tunic.capitol_2.hall.boss.chap4_finale_0	70	hall	persons	False	False	['boss', 'Jolie']	Was Wells right? Is the symbol a deer hoof?	2	2	0	2	2	9	10	4.5	1.1111111111111112	-0.7238888888888866
20	tunic.capitol_2.hall.boss.chap4_finale_1_fail	179	hall	persons	False	False	['boss', 'Jolie']	That doesn't prove your case.	1	1	0	0	2	5	6	5.0	1.2	0.5199999999999996
21	tunic.capitol_2.hall.boss.chap4_finale_1	71	hall	persons	False	False	['boss', 'Jolie']	I checked at the Wildlife Center. It's not a deer hoof! Hmmm. Then what is our flag?	2	4	1	1	2	17	21	4.25	1.2352941176470589	0.6439705882352946
22	tunic.capitol_3.hall.chap5_finale_c	79	hall	cutscenes	False	False	['wells', 'crowd', 'jolie', 'Jolie']	Our next artifact is this spectacular women's suffrage tunic! This shirt belonged to Theodora Youmans... I still say taxidermy would've been better. Admit it, you think Teddy's cute. Sure, for a weasel. *sigh* Hey, I almost forgot. The boss has one more badge for you! Ooh! What badge? History Detective. She wants you to keep helping out around here. YES!!! I'm gonna need an office, and a flashlight, and night vision goggles... Don't get carried away. Ha! Carried away? I'm just getting started. Jo Wilder is on the case!	16	18	8	2	4	89	137	4.944444444444445	1.5393258426966292	4.502378277153561
